date,stock,Sentiment_score,headline_count
2025-03-21,ADANIENT,0.0,0
2025-03-21,ADANIPORTS,0.0,0
2025-03-21,APOLLOHOSP,0.0,0
2025-03-21,ASIANPAINT,0.0,0
2025-03-21,AXISBANK,0.0,0
2025-03-21,BAJAJ-AUTO,0.0,0
2025-03-21,BAJAJFINSV,0.0,0
2025-03-21,BAJFINANCE,0.0,0
2025-03-21,BEL,0.0,0
2025-03-21,BHARTIARTL,0.0,0
2025-03-21,CIPLA,0.0,0
2025-03-21,COALINDIA,0.0,0
2025-03-21,DRREDDY,0.0,0
2025-03-21,EICHERMOT,0.0,0
2025-03-21,ETERNAL,0.0,0
2025-03-21,GRASIM,0.0,0
2025-03-21,HCLTECH,0.0,0
2025-03-21,HDFCBANK,0.0,0
2025-03-21,HDFCLIFE,0.0,0
2025-03-21,HINDALCO,0.0,0
2025-03-21,HINDUNILVR,0.0,0
2025-03-21,ICICIBANK,0.0,0
2025-03-21,INDIGO,0.0,0
2025-03-21,INFY,0.0,0
2025-03-21,ITC,0.0,0
2025-03-21,JIOFIN,0.0,0
2025-03-21,JSWSTEEL,0.0,0
2025-03-21,KOTAKBANK,0.0,0
2025-03-21,LT,0.0,0
2025-03-21,M&M,0.0,0
2025-03-21,MARUTI,0.0,0
2025-03-21,MAXHEALTH,0.0,0
2025-03-21,NESTLEIND,0.0,0
2025-03-21,NTPC,0.0,0
2025-03-21,ONGC,0.0,0
2025-03-21,POWERGRID,0.0,0
2025-03-21,RELIANCE,0.0,0
2025-03-21,SBILIFE,0.0,0
2025-03-21,SBIN,0.0,0
2025-03-21,SHRIRAMFIN,0.0,0
2025-03-21,SUNPHARMA,0.0,0
2025-03-21,TATACONSUM,0.0,0
2025-03-21,TATASTEEL,0.0,0
2025-03-21,TCS,0.0,0
2025-03-21,TECHM,0.0,0
2025-03-21,TITAN,0.0,0
2025-03-21,TMPV,0.0,0
2025-03-21,TRENT,0.0,0
2025-03-21,ULTRACEMCO,0.0,0
2025-03-21,WIPRO,0.0,0
2025-03-24,ADANIENT,0.0,0
2025-03-24,ADANIPORTS,0.0,0
2025-03-24,APOLLOHOSP,0.0,0
2025-03-24,ASIANPAINT,0.0,0
2025-03-24,AXISBANK,0.0,0
2025-03-24,BAJAJ-AUTO,0.0,0
2025-03-24,BAJAJFINSV,0.0,0
2025-03-24,BAJFINANCE,0.0,0
2025-03-24,BEL,0.0,0
2025-03-24,BHARTIARTL,0.0,0
2025-03-24,CIPLA,0.0,0
2025-03-24,COALINDIA,0.0,0
2025-03-24,DRREDDY,0.0,0
2025-03-24,EICHERMOT,0.0,0
2025-03-24,ETERNAL,0.0,0
2025-03-24,GRASIM,0.0,0
2025-03-24,HCLTECH,0.0,0
2025-03-24,HDFCBANK,0.0,0
2025-03-24,HDFCLIFE,0.0,0
2025-03-24,HINDALCO,0.0,0
2025-03-24,HINDUNILVR,0.0,0
2025-03-24,ICICIBANK,0.0,0
2025-03-24,INDIGO,0.0,0
2025-03-24,INFY,0.0,0
2025-03-24,ITC,0.0,0
2025-03-24,JIOFIN,0.0,0
2025-03-24,JSWSTEEL,0.0,0
2025-03-24,KOTAKBANK,0.0,0
2025-03-24,LT,0.0,0
2025-03-24,M&M,0.0,0
2025-03-24,MARUTI,0.0,0
2025-03-24,MAXHEALTH,0.0,0
2025-03-24,NESTLEIND,0.0,0
2025-03-24,NTPC,0.0,0
2025-03-24,ONGC,0.0,0
2025-03-24,POWERGRID,0.0,0
2025-03-24,RELIANCE,0.0,0
2025-03-24,SBILIFE,0.0,0
2025-03-24,SBIN,0.0,0
2025-03-24,SHRIRAMFIN,0.0,0
2025-03-24,SUNPHARMA,0.0,0
2025-03-24,TATACONSUM,0.0,0
2025-03-24,TATASTEEL,0.0,0
2025-03-24,TCS,0.0,0
2025-03-24,TECHM,0.0,0
2025-03-24,TITAN,0.0,0
2025-03-24,TMPV,0.0,0
2025-03-24,TRENT,0.0,0
2025-03-24,ULTRACEMCO,0.0,0
2025-03-24,WIPRO,0.0,0
2025-03-25,ADANIENT,0.0,0
2025-03-25,ADANIPORTS,0.0,0
2025-03-25,APOLLOHOSP,0.0,0
2025-03-25,ASIANPAINT,0.0,0
2025-03-25,AXISBANK,0.0,0
2025-03-25,BAJAJ-AUTO,0.0,0
2025-03-25,BAJAJFINSV,0.0,0
2025-03-25,BAJFINANCE,0.0,0
2025-03-25,BEL,0.0,0
2025-03-25,BHARTIARTL,0.0,0
2025-03-25,CIPLA,0.0,0
2025-03-25,COALINDIA,0.0,0
2025-03-25,DRREDDY,0.0,0
2025-03-25,EICHERMOT,0.0,0
2025-03-25,ETERNAL,0.0,0
2025-03-25,GRASIM,0.0,0
2025-03-25,HCLTECH,0.0,0
2025-03-25,HDFCBANK,0.0,0
2025-03-25,HDFCLIFE,0.0,0
2025-03-25,HINDALCO,0.0,0
2025-03-25,HINDUNILVR,0.0,0
2025-03-25,ICICIBANK,0.0,0
2025-03-25,INDIGO,0.0,0
2025-03-25,INFY,0.0,0
2025-03-25,ITC,0.0,0
2025-03-25,JIOFIN,0.0,0
2025-03-25,JSWSTEEL,0.0,0
2025-03-25,KOTAKBANK,0.0,0
2025-03-25,LT,0.0,0
2025-03-25,M&M,0.0,0
2025-03-25,MARUTI,0.0,0
2025-03-25,MAXHEALTH,0.0,0
2025-03-25,NESTLEIND,0.0,0
2025-03-25,NTPC,0.0,0
2025-03-25,ONGC,0.0,0
2025-03-25,POWERGRID,0.0,0
2025-03-25,RELIANCE,0.0,0
2025-03-25,SBILIFE,0.0,0
2025-03-25,SBIN,0.0,0
2025-03-25,SHRIRAMFIN,0.0,0
2025-03-25,SUNPHARMA,0.0,0
2025-03-25,TATACONSUM,0.0,0
2025-03-25,TATASTEEL,0.0,0
2025-03-25,TCS,0.0,0
2025-03-25,TECHM,0.0,0
2025-03-25,TITAN,0.0,0
2025-03-25,TMPV,0.0,0
2025-03-25,TRENT,0.0,0
2025-03-25,ULTRACEMCO,0.0,0
2025-03-25,WIPRO,0.0,0
2025-03-26,ADANIENT,0.0,0
2025-03-26,ADANIPORTS,0.0,0
2025-03-26,APOLLOHOSP,0.0,0
2025-03-26,ASIANPAINT,0.0,0
2025-03-26,AXISBANK,0.0,0
2025-03-26,BAJAJ-AUTO,0.0,0
2025-03-26,BAJAJFINSV,0.0,0
2025-03-26,BAJFINANCE,0.0,0
2025-03-26,BEL,0.0,0
2025-03-26,BHARTIARTL,0.0,0
2025-03-26,CIPLA,0.0,0
2025-03-26,COALINDIA,0.0,0
2025-03-26,DRREDDY,0.0,0
2025-03-26,EICHERMOT,0.0,0
2025-03-26,ETERNAL,0.0,0
2025-03-26,GRASIM,0.0,0
2025-03-26,HCLTECH,0.0,0
2025-03-26,HDFCBANK,0.0,0
2025-03-26,HDFCLIFE,0.0,0
2025-03-26,HINDALCO,0.0,0
2025-03-26,HINDUNILVR,0.0,0
2025-03-26,ICICIBANK,0.0,0
2025-03-26,INDIGO,0.0,0
2025-03-26,INFY,0.0,0
2025-03-26,ITC,0.0,0
2025-03-26,JIOFIN,0.0,0
2025-03-26,JSWSTEEL,0.0,0
2025-03-26,KOTAKBANK,0.0,0
2025-03-26,LT,0.0,0
2025-03-26,M&M,0.0,0
2025-03-26,MARUTI,0.0,0
2025-03-26,MAXHEALTH,0.0,0
2025-03-26,NESTLEIND,0.0,0
2025-03-26,NTPC,0.0,0
2025-03-26,ONGC,0.0,0
2025-03-26,POWERGRID,0.0,0
2025-03-26,RELIANCE,0.0,0
2025-03-26,SBILIFE,0.0,0
2025-03-26,SBIN,0.0,0
2025-03-26,SHRIRAMFIN,0.0,0
2025-03-26,SUNPHARMA,0.0,0
2025-03-26,TATACONSUM,0.0,0
2025-03-26,TATASTEEL,0.0,0
2025-03-26,TCS,0.0,0
2025-03-26,TECHM,0.0,0
2025-03-26,TITAN,0.0,0
2025-03-26,TMPV,0.0,0
2025-03-26,TRENT,0.0,0
2025-03-26,ULTRACEMCO,0.0,0
2025-03-26,WIPRO,0.0,0
2025-03-27,ADANIENT,0.0,0
2025-03-27,ADANIPORTS,0.0,0
2025-03-27,APOLLOHOSP,0.0,0
2025-03-27,ASIANPAINT,0.0,0
2025-03-27,AXISBANK,0.0,0
2025-03-27,BAJAJ-AUTO,0.0,0
2025-03-27,BAJAJFINSV,0.0,0
2025-03-27,BAJFINANCE,0.0,0
2025-03-27,BEL,0.0,0
2025-03-27,BHARTIARTL,0.0,0
2025-03-27,CIPLA,0.0,0
2025-03-27,COALINDIA,0.0,0
2025-03-27,DRREDDY,0.0,0
2025-03-27,EICHERMOT,0.0,0
2025-03-27,ETERNAL,0.0,0
2025-03-27,GRASIM,0.0,0
2025-03-27,HCLTECH,0.0,0
2025-03-27,HDFCBANK,0.0,0
2025-03-27,HDFCLIFE,0.0,0
2025-03-27,HINDALCO,0.0,0
2025-03-27,HINDUNILVR,0.0,0
2025-03-27,ICICIBANK,0.0,0
2025-03-27,INDIGO,0.0,0
2025-03-27,INFY,0.0,0
2025-03-27,ITC,0.0,0
2025-03-27,JIOFIN,0.0,0
2025-03-27,JSWSTEEL,0.0,0
2025-03-27,KOTAKBANK,0.0,0
2025-03-27,LT,0.0,0
2025-03-27,M&M,0.0,0
2025-03-27,MARUTI,0.0,0
2025-03-27,MAXHEALTH,0.0,0
2025-03-27,NESTLEIND,0.0,0
2025-03-27,NTPC,0.0,0
2025-03-27,ONGC,0.0,0
2025-03-27,POWERGRID,0.0,0
2025-03-27,RELIANCE,0.0,0
2025-03-27,SBILIFE,0.0,0
2025-03-27,SBIN,0.0,0
2025-03-27,SHRIRAMFIN,0.0,0
2025-03-27,SUNPHARMA,0.0,0
2025-03-27,TATACONSUM,0.0,0
2025-03-27,TATASTEEL,0.0,0
2025-03-27,TCS,0.0,0
2025-03-27,TECHM,0.0,0
2025-03-27,TITAN,0.0,0
2025-03-27,TMPV,0.0,0
2025-03-27,TRENT,0.0,0
2025-03-27,ULTRACEMCO,0.0,0
2025-03-27,WIPRO,0.0,0
2025-03-28,ADANIENT,0.0,0
2025-03-28,ADANIPORTS,0.0,0
2025-03-28,APOLLOHOSP,0.0,0
2025-03-28,ASIANPAINT,0.0,0
2025-03-28,AXISBANK,0.0,0
2025-03-28,BAJAJ-AUTO,0.0,0
2025-03-28,BAJAJFINSV,0.0,0
2025-03-28,BAJFINANCE,0.0,0
2025-03-28,BEL,0.0,0
2025-03-28,BHARTIARTL,0.0,0
2025-03-28,CIPLA,0.0,0
2025-03-28,COALINDIA,0.0,0
2025-03-28,DRREDDY,0.0,0
2025-03-28,EICHERMOT,0.0,0
2025-03-28,ETERNAL,0.0,0
2025-03-28,GRASIM,0.0,0
2025-03-28,HCLTECH,0.0,0
2025-03-28,HDFCBANK,0.0,0
2025-03-28,HDFCLIFE,0.0,0
2025-03-28,HINDALCO,0.0,0
2025-03-28,HINDUNILVR,0.0,0
2025-03-28,ICICIBANK,0.0,0
2025-03-28,INDIGO,0.0,0
2025-03-28,INFY,0.0,0
2025-03-28,ITC,0.0,0
2025-03-28,JIOFIN,0.0,0
2025-03-28,JSWSTEEL,0.0,0
2025-03-28,KOTAKBANK,0.0,0
2025-03-28,LT,0.0,0
2025-03-28,M&M,0.0,0
2025-03-28,MARUTI,0.0,0
2025-03-28,MAXHEALTH,0.0,0
2025-03-28,NESTLEIND,0.0,0
2025-03-28,NTPC,0.0,0
2025-03-28,ONGC,0.0,0
2025-03-28,POWERGRID,0.0,0
2025-03-28,RELIANCE,0.0,0
2025-03-28,SBILIFE,0.0,0
2025-03-28,SBIN,0.0,0
2025-03-28,SHRIRAMFIN,0.0,0
2025-03-28,SUNPHARMA,0.0,0
2025-03-28,TATACONSUM,0.0,0
2025-03-28,TATASTEEL,0.0,0
2025-03-28,TCS,0.0,0
2025-03-28,TECHM,0.0,0
2025-03-28,TITAN,0.0,0
2025-03-28,TMPV,0.0,0
2025-03-28,TRENT,0.0,0
2025-03-28,ULTRACEMCO,0.0,0
2025-03-28,WIPRO,0.0,0
2025-04-01,ADANIENT,0.0,0
2025-04-01,ADANIPORTS,0.0,0
2025-04-01,APOLLOHOSP,0.0,0
2025-04-01,ASIANPAINT,0.0,0
2025-04-01,AXISBANK,0.0,0
2025-04-01,BAJAJ-AUTO,0.0,0
2025-04-01,BAJAJFINSV,0.0,0
