date,stock,ROC,RSI,MA_ratio,Volatility,Momentum_score
2025-05-23,ADANIENT,0.1283873833851621,56.72449466815216,,0.029895670169954786,
2025-05-26,ADANIENT,0.050467983342266765,68.11973807296538,,0.0284919647380302,
2025-05-27,ADANIENT,0.040594789447812696,67.30129390018487,,0.028531447042781335,
2025-05-28,ADANIENT,0.021568707096145223,73.03911735205615,,0.028320963144741598,
2025-05-29,ADANIENT,0.008253968253968402,79.57142857142858,,0.028068961464863963,
2025-05-30,ADANIENT,-0.01373776908023483,64.05228758169935,1.029620889181804,0.028173389523899393,
2025-06-02,ADANIENT,-0.008580650240100685,62.05717837165947,1.0286569227853979,0.02362558814707336,
2025-06-03,ADANIENT,-0.01227214582667091,51.28939828080229,1.0296983089011746,0.02196272792514042,
2025-06-04,ADANIENT,-0.00439929611262202,45.05494505494508,1.0310682490609793,0.021976053208186276,
2025-06-05,ADANIENT,0.006753497346840387,41.2577747062889,1.0341997320758316,0.020659442032374926,
2025-06-06,ADANIENT,-0.002283464566929183,48.95013123359578,1.0385958838015075,0.02017304628756958,
2025-06-09,ADANIENT,0.013502374690897767,62.830729996812245,1.0400045311237764,0.011787261003298185,
2025-06-10,ADANIENT,0.028658032515844534,66.40465793304219,1.0410379757172181,0.011930965201214639,
2025-06-11,ADANIENT,0.02632206759443334,62.90678433535575,1.041191282659267,0.01236323471406439,
2025-06-12,ADANIENT,0.0011413727959697084,50.532067874604515,1.0401350229695192,0.011858237187862415,
2025-06-13,ADANIENT,-0.00476209373387837,44.70463012240557,1.037529405104078,0.011849341518933576,
2025-06-16,ADANIENT,0.010004764173415781,50.457354758961664,1.0358249678397264,0.012263962625997563,
2025-06-17,ADANIENT,0.007122910680318784,46.95192086496434,1.034547447504336,0.01276855492568247,
2025-06-18,ADANIENT,-0.0121716076162931,40.67989961213776,1.0332941380967473,0.013031166694396797,
2025-06-19,ADANIENT,-0.03346110844912964,39.10945382759374,1.031199013873131,0.01342411382741945,
2025-06-20,ADANIENT,-0.03385683845000387,42.70617488603397,1.0273478068969568,0.01273832071018333,
2025-06-23,ADANIENT,-0.042639711862437535,50.12000872790748,1.024247062541952,0.012952939326801109,
2025-06-24,ADANIENT,-0.041138877195668,51.71102661596956,1.0213049235173488,0.013372374720083995,
2025-06-25,ADANIENT,-0.02092050209205021,52.37499999999997,1.0198468438422283,0.013333448611130446,
2025-06-26,ADANIENT,0.016707945119314394,55.10604870384918,1.0193781771239778,0.014143106529644145,
2025-06-27,ADANIENT,0.05518561346146189,56.15650172612201,1.0200319657306662,0.014799825554442217,
2025-06-30,ADANIENT,0.02963836477987436,50.6089309878214,1.0204047848041364,0.015060872204909809,
2025-07-01,ADANIENT,0.05356640546513969,54.16154161541619,1.0219731350312227,0.01422869210991515,
2025-07-02,ADANIENT,0.06957830100443241,59.42882057989972,1.0232875057871536,0.01419080501205531,
2025-07-03,ADANIENT,0.07874080806411632,61.68816474315452,1.0241377313837547,0.014343214276667595,
2025-07-04,ADANIENT,0.06155040026139513,56.59248624072743,1.0241527503037868,0.014230045388986846,
2025-07-07,ADANIENT,0.04211165048543686,61.36481577581732,1.0222113546080245,0.013775412415298326,
2025-07-08,ADANIENT,0.034203384418901805,67.80711206896554,1.019963186747229,0.013560720173352069,
